carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,if,d,ideal,5.1,5.15,3.2,61.5,,3000.0
0.7,vvs2,e,premium,5.7,,3.52,62.0,59.0,4500.0
,si2,h,good,4.3,4.31,,62.3,56.0,700.0
1.2,if,d,ideal,,6.82,4.2,61.7,58.0,10000.0
0.9,i1,j,fair,6.0,,3.7,61.7,,2400.0
,si1,g,very good,5.9,5.92,3.63,,57.0,4200.0
0.5,if,d,ideal,5.1,,3.2,61.5,57.0,3100.0
0.4,vvs1,f,good,4.8,4.79,2.95,,,1500.0
1.0,vvs1,f,ideal,6.4,,4.0,,58.0,7500.0
0.4,vvs2,g,very good,4.9,4.88,,61.2,56.0,1400.0
,si2,j,fair,5.7,5.71,3.54,,54.0,2000.0
1.1,vvs1,e,premium,6.6,,4.08,,57.0,9200.0
0.55,si2,h,good,5.3,5.29,,62.0,,1800.0
0.5,si1,g,very good,5.2,,3.2,,56.0,2300.0
0.6,si2,h,good,5.5,5.52,,,57.0,2200.0
0.7,i1,j,fair,,5.79,3.57,61.6,,2100.0
,vvs1,f,ideal,6.1,6.15,3.9,61.8,57.0,6000.0
1.3,si1,g,premium,6.9,,4.3,63.0,60.0,10500.0
1.4,if,d,good,7.1,7.12,,62.4,59.0,11000.0
,vvs2,e,good,4.6,4.58,2.85,,56.0,800.0
1.6,i1,i,fair,7.3,7.28,4.5,,54.0,3400.0
0.2,si1,h,very good,3.9,3.89,2.41,62.1,,500.0
0.35,if,g,ideal,4.5,4.52,,61.9,56.0,1300.0
,vvs2,g,good,4.6,,2.83,62.2,57.0,1600.0
0.55,i1,j,premium,5.4,5.42,3.35,62.1,,2500.0
,vvs1,d,ideal,6.7,6.71,4.15,,58.0,7700.0
0.65,si2,colorless,very good,5.6,,3.47,62.3,58.0,2900.0
1.5,vvs2,f,good,7.2,7.18,,62.7,59.0,10800.0
0.9,si2,h,fair,6.1,6.12,3.78,62.4,,2600.0
,vvs1,e,premium,6.9,,4.27,62.2,57.0,9300.0
0.45,si2,i,good,4.9,4.91,,62.1,56.0,1700.0
0.6,vvs2,g,good,5.5,5.49,,,58.0,2800.0
,si1,f,very good,5.3,5.31,3.3,62.0,57.0,2700.0
0.95,if,d,ideal,6.3,,3.9,62.6,58.0,9400.0
1.05,si2,j,good,6.6,6.58,,62.7,,8500.0
,i1,g,fair,5.9,,3.65,61.9,55.0,2200.0
0.45,si2,h,ideal,4.8,4.82,3.01,62.1,56.0,1500.0
,if,f,premium,6.2,,3.84,61.9,58.0,5900.0
0.85,vvs1,i,good,5.8,5.82,,62.2,55.0,4800.0
0.95,vvs2,d,good,6.3,6.31,3.91,62.4,,7300.0
,si1,e,fair,6.0,6.01,,,54.0,2700.0
0.35,if,g,very good,4.6,,2.85,62.0,57.0,1400.0
0.55,vvs2,j,ideal,5.4,,3.35,62.3,56.0,2600.0
,i1,d,good,4.8,4.79,2.96,61.8,,1200.0
1.05,vvs1,f,premium,6.7,6.69,4.13,,58.0,9500.0
0.75,si2,g,good,5.7,5.71,,62.5,57.0,3800.0
0.65,si1,colorless,very good,5.6,5.58,3.48,62.6,,3300.0
1.4,vvs2,h,good,7.1,,4.39,62.7,59.0,11200.0
0.3,i1,i,fair,4.4,4.41,,62.1,55.0,600.0
0.5,vvs1,e,premium,5.2,5.22,,,58.0,2900.0
1.3,si2,f,good,6.9,,4.26,62.3,57.0,9900.0
,vvs2,d,good,6.8,6.81,4.21,,59.0,8100.0
0.4,si1,j,very good,4.8,4.78,2.96,62.2,,1400.0
1.15,if,g,ideal,6.5,,4.02,62.0,58.0,9800.0
,i1,h,good,5.9,5.88,3.63,62.4,,2100.0
0.55,si2,i,fair,5.3,,3.29,62.1,54.0,1700.0
0.6,vvs2,d,premium,5.6,5.58,3.48,,57.0,3700.0
,si1,f,very good,6.1,6.12,,62.1,59.0,5000.0
